item_material,volume,satuan,harga_pembanding,harga_saat_ini,harga_satuan,keterangan_tambahan,cabang_itb
"Pipa tembaga Set AC 3/8"" + 1/4"" (Pemakaian AC kap. 0,5-1 pk) tebal 0.61mm merk Hoda",30,meter,1275000,1400000,46700,Technica Store jakarta barat,Cirebon
Pipa tembaga Set AC 1/4? + 1/2? (pemakaian AC Kap. 1.5-2 Pk) tebal 0.61mm merk Hoda,30,meter,1525000,1650000,55000,,Cirebon
Pipa tembaga Set AC 1/4? + 5/8? (pemakaian AC Kap. 2.5-3 Pk) tebal 0.61mm merk Hoda,30,meter,2290000,2290000,76400,,Cirebon
Pipa tembaga Set AC 1/4? + 5/8? (pemakaian AC Kap. 2.5-3 Pk) tebal 0.61mm merk Hoda,15,meter,1150000,1225000,81700,,Cirebon
Pipa tembaga Set AC 3/8? + 5/8? (pemakaian AC Kap. 3-4 Pk) tebal 0.61mm merk Hoda,20,meter,1800000,1950000,97500,,Cirebon
Duct tape non lem 1 roll,1,Roll,3500,5000,5000,,Cirebon
Duct tape lem 1 roll,1,Roll,0,8000,8000,,Cirebon
Refrigeran R22 Honeywell,13.6,kg,1200000,1500000,110300,,Cirebon
Refrigeran R410A Honeywell,11.35,kg,1700000,1700000,149800,,Cirebon
Refrigeran R32 Daikin,3,kg,500000,500000,166700,,Cirebon
Bracket Oudoor AC,1,set,35000,35000,35000,,Cirebon
Dyna Bolt M10x50,1,buah,1500,1500,1500,,Cirebon
Dyna Bolt M6x60,1,buah,1000,1000,1000,,Cirebon
Dyna set M6 x30,1,buah,1300,1300,1300,,Cirebon
Dyna set M8 x30,1,buah,1500,1500,1500,,Cirebon
Mur M8 putih,1,buah,200,200,200,,Cirebon
Mur M6 putih,1,buah,100,100,100,,Cirebon
Longdrat M8,1,buah,11500,11500,11500,,Cirebon
Longdrat M6,1,buah,7100,7100,7100,,Cirebon
Ring plat M8 putih,100,buah,9500,9500,100,,Cirebon
Ring plat M6 putih,100,buah,4500,4500,100,,Cirebon
Pipa fleksible PVC putih  5/8 " = 20 mm,1,meter,4000,4000,4000,,Cirebon
Pipa fleksible PVC putih  1" = 25mm,1,meter,6000,6000,6000,,Cirebon
Kabel NYM 2x1.5mm2  Supreme,50,meter,280000,287000,5800,Harga Butik Lampu Bandung,Cirebon
Kabel NYM 2x2.5mm2  Supreme,50,meter,420000,410000,8200,Harga Butik Lampu Bandung,Cirebon
Kabel NYM 3x1.5mm2  Supreme,50,meter,365000,369000,7400,Harga Butik Lampu Bandung,Cirebon
Kabel NYM 3x2.5mm2  Supreme,50,meter,535000,532900,10700,Harga Butik Lampu Bandung,Cirebon
Kabel NYM 3x6mm2  Supreme,100,meter,,2550000,25500,,Cirebon
Kabel NYM 3x10mm2  Supreme,100,meter,4172000,4172000,41800,,Cirebon
Kabel NYM 4x1.5mm2  Supreme,100,meter,971000,971000,9800,,Cirebon
Kabel NYM 4x2.5mm2  Supreme,100,meter,1670000,1670000,16700,plasma jaya,Cirebon
Kabel NYM 4x4mm2  Supreme,100,meter,2535000,2535000,25400,Mulia electric,Cirebon
Kabel NYM 4x6mm2  Supreme,100,meter,3307000,3806000,38100,,Cirebon
Kabel NYM 4x10mm2  Supreme,100,meter,5470000,5470000,54700,,Cirebon
Kabel NYY 2x1.5mm2  Eterna,50,meter,322000,322000,6500,,Cirebon
Kabel NYY 2x2.5mm2  Eterna,50,meter,434000,434000,8700,,Cirebon
Kabel NYY 3x1.5mm2  SUpreme,100,meter,450500,980000,9800,Karapitan electric,Cirebon
Kabel NYY 3x2.5mm2  Supreme,100,meter,535000,1470000,14700,Karapitan electric,Cirebon
Kabel NYY 3x4mm2  Supreme,50,meter,830000,1180000,23600,Karapitan electric,Cirebon
Kabel NYY 3x6mm2  Supreme,50,meter,1100000,1400000,28000,,Cirebon
Kabel NYY 4x2.5mm2  Supreme,100,meter,648000,1979000,19800,Karapitan electric,Cirebon
