id_pekerjaan,jenis_pekerjaan,spesifikasi_teknis,satuan,harga_satuan,cabang_itb,kategori_I,kategori_II
PE-001,Listrik kerja Type A,Pemakaian sampai 1000 kwh,ls,1500000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Persiapan
PE-002,Listrik kerja Type B,Pemakaian sampai 650 kwh,ls,1000000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Persiapan
PE-003,Listrik kerja Type C,Pemakaian Sampai 350 kwh,ls,400000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Persiapan
PE-004,Air kerja,,m3,3000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Persiapan
PE-005,Papan nama proyek A,"Papan nama proyek menggunakan spanduk printing uk.60x120cm, tanpa menggunakan rangka/bingkai",bh,79800,Cirebon,Persiapan dan Bongkaran,Pekerjaan Persiapan
PE-006,Papan nama proyek B,"Pasang papan nama proyek ukuran 75 cm x 120 cm dengan menggunakan bahan spanduk printing dengan warna dasar kuning dan huruf warna hitam font arial, rangka menggunakan kayu kaso borneo.",buah,223200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Persiapan
PE-007,Pembersihan dan perataan lahan/tanah,"Pembersihan dan perataan, sisa pembersihan di buang keluar kampus ITB",m2,12900,Cirebon,Persiapan dan Bongkaran,Pekerjaan Persiapan
PE-008,Pembersihan interior dan dak beton,Pembersihan dan perataan area interior,m2,4000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Persiapan
PE-009,Alat Bantu Perancah,"Pasang alat bantu perancah satu layer menggunakan bambu, termasuk ongkos pasang dan bongkar di lokasi pekerjaan",m2,8500,Cirebon,Persiapan dan Bongkaran,Pekerjaan Persiapan
PE-010,Pagar Sementara plat gelombang/Seng/Plat Galvanis,Pagar sementara menggunakan rangka kayu dan penutup plat seng gelombang/Galvanis termasuk finishing cat seiv 1 muka,m2,124300,Cirebon,Persiapan dan Bongkaran,Pekerjaan Persiapan
PE-011,Pekerjaan pemasangan jaring pengaman,"Jaring pengaman berbahan nilon standar SNI bahan nilon harus kuat, dipasang di sekeliling area pekerjaan",m2,7200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Persiapan
BO-001,Bongkar Keramik lantai + Spesi,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,11200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-002,Bongkar Keramik dinding,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,9600,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-003,Bongkar Plafond dengan rangka 1 lantai (dibawah 6 m),"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,15600,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-004,Bongkar Plafond dengan rangka diatas 1 lantai (diatas 6 m),"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,31000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-005,Bongkar Plafond tanpa rangka 1 lantai (dibawah 6 m),"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,9000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-006,Bongkar Plafond tanpa rangka diatas 1 lantai (diatas 6 m),"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,11600,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
